key,path,exists,dtype,shape,n_samples,sample_length,nan_count,min,max,mean,median,std,rms,abs_mean,p1,p5,p95,p99,median_per_sample_max,mean_per_sample_max,mean_band_0.5_40,median_band_0.5_40,mean_total_power,mean_band_ratio
article_AF,sssd_article_AF.npy,True,float16,"(1024, 3000, 1)",1024,3000,0,-0.4375,0.43359375,-0.0004181861877441406,-0.01493072509765625,0.0838623046875,0.0838623046875,inf,,,,,0.38720703125,0.386962890625,0.003047210298163361,0.003006373303077875,0.0030579654141055152,0.9964516758916475
article_NSR,sssd_article_NSR.npy,True,float16,"(1024, 3000, 1)",1024,3000,0,-0.425537109375,0.425537109375,-0.00042057037353515625,-0.0157012939453125,0.0841064453125,0.0841064453125,inf,,,,,0.38720703125,0.38623046875,0.0030571965839832176,0.003035876902795359,0.003060287680115773,0.9989844467155895
1024_AF,1024seq_AF.npy,True,float32,"(1024, 3000, 1)",1024,3000,0,-15.629660606384277,15.600296974182129,-3.0411562157439676e-10,-0.10586980730295181,1.0,1.0,0.58392733335495,-3.1138203144073486,-1.0204191207885742,1.7414969205856323,3.3783366680145264,5.5992960929870605,6.028292655944824,0.4236225381209269,0.43038525726331045,0.4375895807294005,0.964227756329147
1024_NSR,1024seq_NSR.npy,True,float32,"(1024, 3000, 1)",1024,3000,0,-1.7346911430358887,4.424134731292725,0.0021690158173441887,-0.01344721857458353,0.14894825220108032,0.1489640325307846,0.06132273003458977,-0.32273322343826294,-0.10757774859666824,0.17481383681297302,0.430310994386673,0.5378887057304382,0.7088680267333984,0.009880438926109018,0.0034729077953432608,0.009965161881616273,0.9847303477773443
pulso_AF,PULSOVITAL\npy_output\AF_processed_1024x3000x1.npy,True,float32,"(1024, 3000, 1)",1024,3000,0,-409.951904296875,432.6104431152344,0.0021510948427021503,0.0,1.9294787645339966,1.9294798374176025,0.106478750705719,-0.5916776061058044,-0.13447217643260956,0.18826106190681458,0.4572054147720337,0.5782303810119629,1.2543470859527588,0.013273505365108566,0.005008583723364879,0.013930418214983697,0.9740004393861184
pulso_NSR,PULSOVITAL\npy_output\NSR_processed_1024x3000x1.npy,True,float32,"(1024, 3000, 1)",1024,3000,0,-432.58355712890625,423.8025207519531,0.0015032297233119607,-0.01344721857458353,1.1270248889923096,1.127025842666626,0.08837497234344482,-0.44375818967819214,-0.13447217643260956,0.2151554971933365,0.5513359308242798,0.6252956390380859,1.1823046207427979,0.010513797516613774,0.005608686845293143,0.010707060003965086,0.9793454235000324
