class,DS,PS,MDD,ACD,SD,KD,CFID,tSNE_silhouette,DTW,mmd2,mmd_sigma,energy,psd_l2,discriminator_auc,ks_stat,ks_p,wasserstein,mean_diff_proj
AF,0.3247689283922969,0.001951219512195122,0.0,0.0,0.0,0.0,0.00011422348158606727,-0.001991532975807786,0.0,-0.000767558503198762,77.49918564082597,0.0,0.0,0.49901721664275467,0.0,1.0,0.0,0.0
NSR,0.3353492435641717,0.001951219512195122,0.0,0.0,0.0,0.0,5.829006486186401e-05,-0.001991122029721737,0.0,-0.0007670948510438702,77.52511656602006,0.0,0.0,0.4990339550454328,0.0,1.0,0.0,0.0
