dataset,FID,ACF_mean,ACF_std,MMD,Energy,SE_real,SE_synth,KS_stat,KS_p,mean_real,mean_synth,std_real,std_synth,skew_real,skew_synth,kurt_real,kurt_synth,median_real,median_synth,iqr_real,iqr_synth,low_real,mid_real,low_synth,mid_synth
AF,155.52182116724214,0.12773549711878263,0.0367599006100068,0.001953125,0.17907702800485248,0.2608711992728472,0.19973657242454493,0.24512207031250005,0.0,-0.0011360194414006695,-0.0009839622202563192,0.9881529099475794,0.9931708304084823,1.394299336100023,-0.1444736052828772,7.9048631079683265,7.779543710069232,-0.08936694103956495,0.001300894593274051,0.45646504523248765,0.6227393577983276,0.2725419640549901,0.400045073360885,0.3244282149466058,0.39164292701502695
NSR,2591.6837986904543,0.5347799375769047,0.10465366269900556,0.0019577387497257976,0.18869161597787448,0.02940978709616977,0.1821752414734562,0.2398447265625,0.0,0.5620321531811586,-0.004533563106786571,1.2998816900306593,0.9593659173321869,0.5653696782998813,1.1658861667676437,-0.1376679329297943,8.398578812499656,0.04644315364598168,-0.16764135805780545,1.9107345214711955,0.4796044921079455,0.6262203196190606,0.0036857299616653216,0.31812829789452884,0.38052164507512465
