mmd2,mmd_sigma,energy,ks_stat,ks_p,wasserstein,mean_diff_proj,psd_l2,discriminator_auc,DS,PS,MDD,ACD,SD,KD,CFID,DTW,class,demo,source,pair
0.0882471360395535,5.947475164900057,0.0486323880063758,0.7451171875,2.782507075434298e-07,15.491179703710486,15.04476547241211,17.10759925842285,0.8143121313566077,0.8143121313566077,,0.3764098608230135,0.0879368564581066,0.555445671081543,3.0742764472961426,42.16878927679351,0.1296870812598099,AF,sample_sssd_norm.npy,demo_vs_pulso,
0.1064955784178768,4.783373835143473,0.0587981541600872,0.7490234375,2.272714341164914e-07,3.289528349066074,2.828979015350342,0.0063631404191255,0.8185349912322654,0.8185349912322654,,0.028751480529892,0.0880947293210683,1.119091510772705,5.523922443389893,17.682642990015882,0.0349497142076778,NSR,sample_sssd_norm.npy,demo_vs_pulso,
0.1257327254083543,5.979923675013271,0.0892994208288689,0.8284505208333334,1.868673855053913e-09,16.14012644751824,15.237417221069336,17.10490608215332,0.8416292045273395,0.8416292045273395,,0.3950809966511469,0.0472141425771405,0.2008020579814911,4.629420280456543,103.00752319759825,0.1350534820148156,AF,sample_wavegan_norm.npy,demo_vs_pulso,
0.1836309008857207,4.819394445287356,0.113749895704646,0.8333333333333334,1.3221254431960204e-09,3.9434486006754055,3.0216307640075684,0.0126217519864439,0.8543089430894308,0.8543089430894308,,0.0656094333536946,0.046736911810239,0.7644479274749756,7.079066276550293,29.819573041325175,0.0484991001788031,NSR,sample_wavegan_norm.npy,demo_vs_pulso,
0.169970583381486,5.980796264135959,0.1021609845783972,0.8147786458333334,4.736338963827485e-09,16.873612535569237,16.23941421508789,17.101104736328125,0.8494372708432966,0.8494372708432966,,0.4080763361185919,0.0856906213949853,0.1814179420471191,3.7256674766540527,87.80887132917279,0.1386088155690049,AF,sample_p2p_norm.npy,demo_vs_pulso,
0.2275766364830295,4.818534026006041,0.1264522673444767,0.8264973958333334,2.141448349285495e-09,4.686459022269389,4.02362871170044,0.027531299740076,0.8632520325203252,0.8632520325203252,,0.0769804579223031,0.0902426155001954,0.3822278976440429,6.175313472747803,25.063024123596087,0.054558839966655,NSR,sample_p2p_norm.npy,demo_vs_pulso,
0.1247216863480444,5.972605639909509,0.0931597883248697,0.8255208333333334,2.291407214497805e-09,15.727977718609736,15.18964672088623,17.10720443725586,0.900750836920134,0.900750836920134,,0.3912402767915972,0.1049610154155662,0.1662655472755432,0.3532419204711914,80.23334558967721,0.1325288096361121,AF,sample_real_norm.npy,demo_vs_pulso,
0.1774235531139818,4.813967880252409,0.1128712340695,0.8294270833333334,1.7448203225753395e-09,3.514015095935008,2.973860025405884,0.0126060647889971,0.9129587119400606,0.9129587119400606,,0.0515940627888146,0.1055413472822953,0.3973802924156189,2.0964040756225586,30.36925278768653,0.0403616008070277,NSR,sample_real_norm.npy,demo_vs_pulso,
0.7377188917087931,23.902053889540944,0.8490549254992084,0.99609375,0.0,26.747260892831264,26.650684356689453,25.238672256469727,0.9990243902439024,0.9990243902439024,,0.8212392467409177,0.0438649861368204,6.476066589355469,47.74371337890625,158.10330436143985,0.1201384101408339,AF,,pulso_vs_generated,real_vs_gen
0.7694234117889771,23.613667888110527,0.8624033700066276,0.9951171875,0.0,3.8402853218758537,3.626490592956543,0.0061719571240246,1.0,1.0,,0.4385032754977522,0.043246118870031,5.873986721038818,44.59725570678711,46.18966605052322,0.1435995706665795,NSR,,pulso_vs_generated,real_vs_gen
